binary,OS,OS_sig,SNR,abs_SNR,h_0,residual_amplitude_us,frequency_nHz,chirp_mass_Msun,distance_Mpc,ra_deg,dec_deg,mean_rho,std_rho,pos_corr,neg_corr,success,index,rank,final_rank
"{'Mc': np.float64(6.6305970626022375e+40), 'f': np.float64(1.2863320842486182e-09), 'D': np.float64(1800.956265704808), 'ra': np.float64(0.11676419770894084), 'dec': np.float64(0.6892061394902494), 'psi': np.float64(0.0450759427907726), 'iota': np.float64(2.5883627781833556), 'phi0': np.float64(0.09387345966945318)}",8.484420755482968e-31,2.030042991333587e-30,0.41794291016020974,0.41794291016020974,1.3484227041634962e-14,1.668372742722338,1.2863320842486181,33345220509.246998,1800.956265704808,6.690095726953427,39.48860300729599,8.470728149535125e-31,9.238333010707503e-30,1098,1113,True,358,1,1
"{'Mc': np.float64(6.775542170327112e+40), 'f': np.float64(2.5884903861551288e-09), 'D': np.float64(9199.388945274803), 'ra': np.float64(1.4362586353625129), 'dec': np.float64(-0.32552073380156954), 'psi': np.float64(2.9450199782736233), 'iota': np.float64(1.650664411874125), 'phi0': np.float64(1.2565378865204173)}",6.1950026920948205e-31,2.030042991333587e-30,0.3051660836022574,0.3051660836022574,4.3619923974333614e-15,0.26819981850965285,2.588490386155129,34074148316.68123,9199.388945274803,82.29155809549104,-18.65096419083149,-2.4581090922409473e-32,1.2188428102736574e-30,1070,1141,True,999,12,2
"{'Mc': np.float64(7.112650811439388e+40), 'f': np.float64(4.0975560607603695e-09), 'D': np.float64(4519.248287359869), 'ra': np.float64(3.5983865165010807), 'dec': np.float64(1.0338784906436054), 'psi': np.float64(0.4574595092587569), 'iota': np.float64(2.9122877251980244), 'phi0': np.float64(5.168616281342971)}",4.222688493863122e-31,2.030042991333587e-30,0.20800980628933038,0.20800980628933038,1.3077025599493274e-14,0.5079303941755945,4.097556060760369,35769465023.054855,4519.248287359869,206.17236045229427,59.23687404323436,-4.0213623747800205e-32,5.090188252544692e-30,1089,1122,True,363,2,3
"{'Mc': np.float64(5.525513182246153e+40), 'f': np.float64(1.8478661952048962e-09), 'D': np.float64(6407.730407735277), 'ra': np.float64(3.00145134187727), 'dec': np.float64(0.28468671508523186), 'psi': np.float64(0.2332609659821892), 'iota': np.float64(2.2920193432758955), 'phi0': np.float64(0.15855234010353486)}",2.4947141017139485e-31,2.030042991333587e-30,0.12288971772342157,0.12288971772342157,3.560709756779357e-15,0.3066805162503324,1.8478661952048963,27787762361.243336,6407.730407735277,171.97049430344512,16.31134725782713,-1.076307890747955e-32,8.478487538859226e-31,1112,1099,True,1565,16,4
"{'Mc': np.float64(8.314594936820681e+40), 'f': np.float64(1.6496348108138557e-09), 'D': np.float64(5692.17163677445), 'ra': np.float64(2.4966281495953857), 'dec': np.float64(0.8908150211388983), 'psi': np.float64(2.7969370345158784), 'iota': np.float64(0.6995671197755347), 'phi0': np.float64(2.048422598378913)}",-2.4707891612934432e-31,2.030042991333587e-30,-0.12171117418899187,0.12171117418899187,7.343252733351942e-15,0.7084689067087775,1.6496348108138557,41814032581.93828,5692.17163677445,143.04625598537194,51.03994103811608,2.4403540658251492e-32,3.690211742944094e-30,1145,1066,True,423,4,5
"{'Mc': np.float64(4.409099138131704e+40), 'f': np.float64(2.5921630641924845e-09), 'D': np.float64(3147.4204037068093), 'ra': np.float64(6.141531764236692), 'dec': np.float64(-0.2827192933032292), 'psi': np.float64(2.523752760033629), 'iota': np.float64(0.3905016762310895), 'phi0': np.float64(5.9492808743979735)}",-1.3749096667408951e-31,2.030042991333587e-30,-0.0677281058879291,0.0677281058879291,6.236046183193379e-15,0.38288392775697466,2.5921630641924844,22173324908.757507,3147.4204037068093,351.88384983629703,-16.198622293196273,-1.4622477446823353e-32,8.942366240589409e-31,1125,1086,True,35,7,6
"{'Mc': np.float64(5.318396932540093e+40), 'f': np.float64(2.709042533569254e-09), 'D': np.float64(6819.9372593258495), 'ra': np.float64(1.0279771175251984), 'dec': np.float64(0.19948515171960382), 'psi': np.float64(0.28706897154991506), 'iota': np.float64(2.5764219028708184), 'phi0': np.float64(4.318757595626341)}",1.2403184287757701e-31,2.030042991333587e-30,0.06109813605282188,0.06109813605282188,4.051080208594227e-15,0.2379990096390398,2.709042533569254,26746176369.470463,6819.9372593258495,58.89875027021768,11.429657269060195,-1.6200839163578455e-32,7.240969535371744e-31,1118,1093,True,443,14,7
"{'Mc': np.float64(8.437185882928178e+40), 'f': np.float64(1.5326686824802547e-09), 'D': np.float64(13844.103156030207), 'ra': np.float64(3.3965351526305017), 'dec': np.float64(-0.675516063150107), 'psi': np.float64(0.4711054958640677), 'iota': np.float64(1.1437536106553547), 'phi0': np.float64(1.254675951992422)}",1.1109715672657711e-31,2.030042991333587e-30,0.054726504414369354,0.054726504414369354,2.9457970154683597e-15,0.3058966113918635,1.5326686824802547,42430541486.30946,13844.103156030207,194.60712921355065,-38.70421941179393,-4.239128422901339e-34,2.828170303934544e-31,1098,1113,True,511,18,8
"{'Mc': np.float64(3.745388762447694e+40), 'f': np.float64(2.1893987661955416e-09), 'D': np.float64(1989.297253415225), 'ra': np.float64(3.6992558772844553), 'dec': np.float64(0.7820446418270962), 'psi': np.float64(1.6795842706131567), 'iota': np.float64(1.8876139534593563), 'phi0': np.float64(4.802422926768349)}",-9.605715708154453e-32,2.030042991333587e-30,-0.04731779449579151,0.04731779449579151,6.71714146660335e-15,0.4882921669473459,2.1893987661955414,18835530646.41505,1989.297253415225,211.95174910736407,44.80785736751274,-3.694834892587335e-32,1.8721819675312504e-30,1129,1082,True,637,5,9
"{'Mc': np.float64(4.2271252825690493e+40), 'f': np.float64(1.463033996409411e-09), 'D': np.float64(5737.618400265675), 'ra': np.float64(3.024262031992657), 'dec': np.float64(-0.8036266865675508), 'psi': np.float64(2.6377453012906527), 'iota': np.float64(2.3290309314198825), 'phi0': np.float64(4.713378841306438)}",7.63342552648107e-32,2.030042991333587e-30,0.037602285070162375,0.037602285070162375,2.1778062703028627e-15,0.23691085365471645,1.463033996409411,21258179819.504692,5737.618400265675,173.27745057483762,-46.0444174444033,1.4193040867428238e-32,3.4965510544139714e-31,1112,1099,True,1815,27,10
