==============================================================
  SNR Outlier Report
  Generated  : Thursday 30 April 2026  15:07:48
  Log dir    : /fred/oz005/users/bhoulden/SMBHB_population_injections/logs/28-29_04_26_400_sims_logs
  Scanned    : 1224   Range: [3.5, 4.25]
==============================================================

  OUTSIDE RANGE  (165 file(s)):

  Filename                                          Mean SNR  Flag
  -----------------------------------------------------------------
  smbhb_optimistic_11711210.out                       4.2576  [HIGH]
  smbhb_optimistic_11711212.out                       5.5859  [HIGH]
  smbhb_optimistic_11711213.out                       4.7637  [HIGH]
  smbhb_optimistic_11711214.out                       4.8850  [HIGH]
  smbhb_optimistic_11717514.out                       5.7651  [HIGH]
  smbhb_optimistic_11717519.out                       3.1257  [LOW]
  smbhb_optimistic_11717523.out                       3.1736  [LOW]
  smbhb_optimistic_11717531.out                       3.3962  [LOW]
  smbhb_optimistic_11717537.out                       6.5207  [HIGH]
  smbhb_optimistic_11717541.out                       5.7231  [HIGH]
  smbhb_optimistic_11717559.out                       3.1577  [LOW]
  smbhb_optimistic_11717561.out                       2.4469  [LOW]
  smbhb_optimistic_11717563.out                       4.3089  [HIGH]
  smbhb_optimistic_11717633.out                       6.5901  [HIGH]
  smbhb_optimistic_11717638.out                       5.7850  [HIGH]
  smbhb_optimistic_11717776.out                       3.3645  [LOW]
  smbhb_optimistic_11717783.out                       4.7754  [HIGH]
  smbhb_optimistic_11728538.out                       5.4883  [HIGH]
  smbhb_optimistic_11728540.out                       4.8793  [HIGH]
  smbhb_optimistic_11728560.out                       4.7535  [HIGH]
  smbhb_optimistic_11728562.out                       5.3142  [HIGH]
  smbhb_optimistic_11728566.out                       5.2093  [HIGH]
  smbhb_optimistic_11728569.out                       3.0900  [LOW]
  smbhb_optimistic_11728572.out                       5.8455  [HIGH]
  smbhb_optimistic_11728573.out                       4.3739  [HIGH]
  smbhb_optimistic_11728579.out                       6.0263  [HIGH]
  smbhb_optimistic_11728584.out                       3.2845  [LOW]
  smbhb_optimistic_11728590.out                       5.1256  [HIGH]
  smbhb_optimistic_11728591.out                       2.1755  [LOW]
  smbhb_optimistic_11728601.out                       6.0445  [HIGH]
  smbhb_optimistic_11728605.out                       4.3698  [HIGH]
  smbhb_optimistic_11728615.out                       2.7915  [LOW]
  smbhb_optimistic_11728616.out                       6.9571  [HIGH]
  smbhb_optimistic_11728618.out                       5.1739  [HIGH]
  smbhb_optimistic_11728624.out                       3.3206  [LOW]
  smbhb_optimistic_11728627.out                       5.6537  [HIGH]
  smbhb_optimistic_11736986.out                       3.4342  [LOW]
  smbhb_optimistic_11736995.out                       4.4876  [HIGH]
  smbhb_optimistic_11736997.out                       5.4395  [HIGH]
  smbhb_optimistic_11737004.out                       4.9802  [HIGH]
  smbhb_optimistic_11737007.out                       3.2511  [LOW]
  smbhb_optimistic_11737008.out                       5.3231  [HIGH]
  smbhb_optimistic_11737013.out                       4.4860  [HIGH]
  smbhb_optimistic_11737015.out                       4.4742  [HIGH]
  smbhb_optimistic_11738354.out                       4.3255  [HIGH]
  smbhb_optimistic_11738355.out                       5.3853  [HIGH]
  smbhb_optimistic_11738356.out                       5.2947  [HIGH]
  smbhb_optimistic_11738510.out                       4.6832  [HIGH]
  smbhb_optimistic_11738796.out                       5.2258  [HIGH]
  smbhb_optimistic_11738905.out                       4.8678  [HIGH]
  smbhb_optimistic_11738917.out                       3.4864  [LOW]
  smbhb_optimistic_11738918.out                       2.4416  [LOW]
  smbhb_optimistic_11738970.out                       4.9444  [HIGH]
  smbhb_optimistic_11738972.out                       4.7523  [HIGH]
  smbhb_optimistic_11738976.out                       4.6176  [HIGH]
  smbhb_optimistic_11738978.out                       4.3883  [HIGH]
  smbhb_optimistic_11738995.out                       4.4509  [HIGH]
  smbhb_optimistic_11738997.out                       2.7608  [LOW]
  smbhb_optimistic_11739009.out                       4.7943  [HIGH]
  smbhb_optimistic_11739012.out                       6.6418  [HIGH]
  smbhb_optimistic_11739031.out                       5.3148  [HIGH]
  smbhb_optimistic_11739053.out                       4.2884  [HIGH]
  smbhb_optimistic_11740161.out                       4.3303  [HIGH]
  smbhb_optimistic_11740162.out                       4.6598  [HIGH]
  smbhb_optimistic_11740165.out                       5.3073  [HIGH]
  smbhb_optimistic_11740166.out                       3.2138  [LOW]
