sim_id,status,phase_reached,resumable,reason,log_file
105,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim105_try1_13249553.out
106,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-17_optimistic/logs/stage2_sim106_try1_13249555.out
107,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim107_try1_13249557.out
108,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim108_try1_13249559.out
109,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim109_try1_13249561.out
110,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim110_try1_13249563.out
111,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim111_try1_13249565.out
112,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim112_try1_13249567.out
113,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-17_optimistic/logs/stage2_sim113_try1_13249569.out
114,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-17_optimistic/logs/stage2_sim114_try1_13249571.out
115,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim115_try1_13249573.out
116,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim116_try1_13249575.out
117,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim117_try1_13249577.out
118,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim118_try1_13249579.out
119,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim119_try1_13249581.out
120,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim120_try1_13249583.out
121,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim121_try1_13249585.out
122,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim122_try1_13249587.out
123,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim123_try1_13249589.out
124,incomplete_early,"SNR shard selection (no convergence, no timeout)",False,Job stopped without finding population SNR; unclear why,runs/2026-06-17_optimistic/logs/stage2_sim124_try1_13249591.out
125,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim125_try1_13249593.out
126,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim126_try1_13249595.out
127,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-17_optimistic/logs/stage2_sim127_try1_13249597.out
128,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim128_try1_13249599.out
129,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim129_try1_13249601.out
130,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim130_try1_13249603.out
131,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim131_try1_13249605.out
