sim_id,status,phase_reached,resumable,reason,log_file
3,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-16_pessimistic/logs/stage2_sim003_try1_13224026.out
4,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-16_pessimistic/logs/stage2_sim004_try1_13232794.out
5,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim005_try1_13232796.out
6,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim006_try1_13232798.out
7,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim007_try1_13232800.out
8,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim008_try1_13232802.out
9,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-16_pessimistic/logs/stage2_sim009_try1_13232804.out
10,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim010_try1_13232806.out
11,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim011_try1_13232808.out
12,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim012_try1_13232810.out
13,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim013_try1_13232812.out
14,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim014_try1_13232814.out
15,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim015_try1_13232816.out
16,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim016_try1_13232818.out
17,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim017_try1_13232820.out
18,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-16_pessimistic/logs/stage2_sim018_try1_13232822.out
19,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim019_try1_13232824.out
20,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim020_try1_13232835.out
22,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim022_try1_13232839.out
23,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim023_try1_13232841.out
24,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim024_try1_13232843.out
25,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim025_try1_13232845.out
26,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim026_try1_13232849.out
27,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim027_try1_13232853.out
28,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim028_try1_13232857.out
29,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim029_try1_13232861.out
30,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim030_try1_13232865.out
31,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim031_try1_13232869.out
32,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim032_try1_13232873.out
33,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-16_pessimistic/logs/stage2_sim033_try1_13232877.out
34,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim034_try1_13232881.out
35,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim035_try1_13232885.out
36,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim036_try1_13232889.out
37,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-16_pessimistic/logs/stage2_sim037_try1_13232893.out
38,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim038_try1_13232897.out
39,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim039_try1_13232901.out
40,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim040_try1_13232905.out
41,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim041_try1_13232909.out
42,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim042_try1_13232913.out
43,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim043_try1_13232917.out
44,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim044_try1_13232921.out
45,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim045_try1_13232925.out
46,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-16_pessimistic/logs/stage2_sim046_try1_13232929.out
47,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-16_pessimistic/logs/stage2_sim047_try1_13232933.out
48,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim048_try1_13232937.out
49,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim049_try1_13232941.out
50,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim050_try1_13232945.out
51,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim051_try1_13232949.out
52,incomplete_early,"SNR shard selection (no convergence, no timeout)",False,Job stopped without finding population SNR; unclear why,runs/2026-06-16_pessimistic/logs/stage2_sim052_try1_13232953.out
