sim_id,status,phase_reached,resumable,reason,log_file
1,incomplete_late,baseline+scenarios (0/2 done),True,SNR converged but all scenarios not done; can resume,runs/2026-06-16_realistic/logs/stage2_sim001_try1_13219580.out
2,incomplete_early,"SNR shard selection (no convergence, no timeout)",False,Job stopped without finding population SNR; unclear why,runs/2026-06-16_realistic/logs/stage2_sim002_try1_13221596.out
3,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim003_try1_13222748.out
4,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim004_try1_13224027.out
5,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-16_realistic/logs/stage2_sim005_try1_13234022.out
6,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim006_try1_13234024.out
7,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_realistic/logs/stage2_sim007_try1_13234026.out
8,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim008_try1_13234028.out
9,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-16_realistic/logs/stage2_sim009_try1_13234030.out
10,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim010_try1_13234032.out
11,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-16_realistic/logs/stage2_sim011_try1_13234034.out
12,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim012_try1_13234036.out
13,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim013_try1_13234038.out
14,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim014_try1_13234040.out
15,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim015_try1_13234042.out
16,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim016_try1_13234044.out
17,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_realistic/logs/stage2_sim017_try1_13234046.out
18,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim018_try1_13234048.out
19,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim019_try1_13234050.out
20,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim020_try1_13234052.out
21,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-16_realistic/logs/stage2_sim021_try1_13234054.out
22,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim022_try1_13234056.out
23,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim023_try1_13234058.out
24,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim024_try1_13234060.out
25,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-16_realistic/logs/stage2_sim025_try1_13234062.out
26,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-16_realistic/logs/stage2_sim026_try1_13234064.out
27,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim027_try1_13234066.out
28,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_realistic/logs/stage2_sim028_try1_13234068.out
29,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_realistic/logs/stage2_sim029_try1_13234070.out
30,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim030_try1_13234072.out
31,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim031_try1_13234074.out
32,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim032_try1_13234076.out
33,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_realistic/logs/stage2_sim033_try1_13234078.out
34,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim034_try1_13234080.out
35,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim035_try1_13234082.out
36,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim036_try1_13234084.out
37,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim037_try1_13234086.out
38,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim038_try1_13234088.out
